stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_city
4029,POMMIN,"Les Pommiers",,  49.559220,   0.215575,,,0,POMMIE,Epouville
4028,POMMIS,"Les Pommiers",,  49.559139,   0.215259,,,0,POMMIE,Epouville
3550,PONT6N,"Pont 6",,  49.486439,   0.163276,,,0,PONTVI,Le Havre
3549,PONT6S,"Pont 6",,  49.486593,   0.163152,,,0,PONTVI,Le Havre
4115,PONT7E,"Pont 7",,  49.495394,   0.177856,,,0,PONT7,Le Havre
4114,PONT7O,"Pont 7",,  49.495075,   0.176756,,,0,PONT7,Le Havre
4859,PONT8N,"Pont 8",,  49.499677,   0.201583,,,0,PONT8,Gonfreville l'Orcher
5036,POTMAI,"Mairie LP",,  49.671844,   0.189248,,,0,POTMAI,La Poterie - Cap d'Antifer
5126,POTMAO,"Mairie LP",,  49.671908,   0.189332,,,0,POTMAI,La Poterie - Cap d'Antifer
3261,PRENSE,"Pressensé",,  49.497343,   0.151907,,,0,PRENSE,Le Havre
3613,PRENSO,"Pressensé",,  49.497490,   0.151692,,,0,PRENSE,Le Havre
3503,PROELE,"Parc de Rouelles",,  49.521142,   0.175153,,,0,PROUEL,Le Havre
3502,PROELO,"Parc de Rouelles",,  49.521120,   0.175848,,,0,PROUEL,Le Havre
4868,PSEMAE,"P. Semard",,  49.496351,   0.147947,,,0,PSEMAR,Le Havre
4869,PSEMAO,"P. Semard",,  49.496473,   0.147734,,,0,PSEMAR,Le Havre
3193,PVATIO,"P. Vatine",,  49.490053,   0.126099,,,0,VATINE,Le Havre
3793,PVAUBE,"Pont Vauban",,  49.489617,   0.118602,,,0,PTVAUB,Le Havre
3794,PVAUBO,"Pont Vauban",,  49.490702,   0.119547,,,0,PTVAUB,Le Havre
3675,PVERON,"P. Véronèse",,  49.515108,   0.114192,,,0,VERONE,Le Havre
3676,PVEROS,"P. Véronèse",,  49.514714,   0.114593,,,0,VERONE,Le Havre
3695,PWLSON,"Pdt Wilson",,  49.537590,   0.177924,,,0,WILSNM,Montivilliers
3696,PWLSOS,"Pdt Wilson",,  49.537607,   0.177869,,,0,WILSNM,Montivilliers
4010,QGRILE,"Queue du Gril",,  49.518874,   0.273019,,,0,GAQUEU,Gainneville
4009,QGRILO,"Queue du Gril",,  49.518918,   0.272811,,,0,GAQUEU,Gainneville
3987,QQ1,"Queneau",,  49.526046,   0.115661,,,0,QUENEA,Le Havre
3988,QQ2,"Queneau",,  49.525808,   0.115409,,,0,QUENEA,Le Havre
3573,RCANCE,"R. Cance",,  49.502763,   0.153469,,,0,RCANCE,Le Havre
3572,RCANCO,"R. Cance",,  49.502626,   0.152344,,,0,RCANCE,Le Havre
3117,RCEQUE,"Rouelles Équestre",,  49.521078,   0.170184,,,0,CEQRLE,Le Havre
3116,RCEQUO,"Rouelles Équestre",,  49.521132,   0.168571,,,0,CEQRLE,Le Havre
3656,RCOTYE,"R. Coty",,  49.496836,   0.110773,,,0,COTY,Le Havre
3188,RCOTYO,"R. Coty",,  49.497084,   0.111415,,,0,COTY,Le Havre
3300,RCOTYS,"R. Coty",,  49.507222,   0.272780,,,0,RCOTY,Rogerville
4648,RDP2EA,"Rond-Point",,  49.499976,   0.129161,,,0,RPOINT,Le Havre
4650,RDP2OA,"Rond-Point",,  49.500035,   0.130480,,,0,RPOINT,Le Havre
3887,REIMSE,"Reims",,  49.513121,   0.126371,,,0,REIMS,Le Havre
3455,REIMSO,"Reims",,  49.512590,   0.124471,,,0,REIMS,Le Havre
4724,RGARON,"R. Garros",,  49.526033,   0.090553,,,0,RGAROS,Le Havre
4725,RGAROS,"R. Garros",,  49.525678,   0.090056,,,0,RGAROS,Le Havre
4356,RICHAN,"L. Richard",,  49.490294,   0.149486,,,0,LRICH,Le Havre
4357,RICHAS,"L. Richard",,  49.490791,   0.149199,,,0,LRICH,Le Havre
3578,RICHEN,"Richelieu",,  49.489519,   0.107563,,,0,RICHEL,Le Havre
3579,RICHES,"Richelieu",,  49.489604,   0.107533,,,0,RICHEL,Le Havre
3215,ROLBON,"Le Bosquet",,  49.586235,   0.210860,,,0,BOSQUE,Rolleville
5145,ROLBOS,"Le Bosquet",,  49.585645,   0.210940,,,0,BOSQUE,Rolleville
3132,ROLLIN,"La Linerie",,  49.577882,   0.215418,,,0,LINERI,Rolleville
3135,ROLLIS,"La Linerie",,  49.577965,   0.215266,,,0,LINERI,Rolleville
5130,ROLMAN,"Mairie",,  49.581925,   0.212048,,,0,ROLMAI,Rolleville
5146,ROLMAS,"Mairie",,  49.581167,   0.212370,,,0,ROLMAI,Rolleville
5169,ROMCSN,"A. Siegfried",,  49.533191,   0.353839,,,0,STRSIF,Saint-Romain-de-Colbosc
5170,ROMCSS,"A. Siegfried",,  49.533165,   0.353769,,,0,STRSIF,Saint-Romain-de-Colbosc
3312,ROMECE,"Parc Éco-Normandie",,  49.521369,   0.347235,,,0,ROMECO,Saint-Romain-de-Colbosc
5072,ROMECO,"Parc Éco-Normandie",,  49.521534,   0.348398,,,0,ROMECO,Saint-Romain-de-Colbosc
